id,title,year,slug,runtime_min,sktorrent_video_id,sktorrent_cdn,sktorrent_qualities,has_dub,has_subtitles,csfd_rating,imdb_rating,priority_score,imdb_id,csfd_id,detail_url,prehrajto_verdict,prehrajto_candidates,prehrajto_best_url,prehrajto_best_title,prehrajto_search_url
7271,"Děda, postrach rodiny",2020,deda-postrach-rodiny,,16222,11,"720p,480p",t,t,57,5.7,11.40,tt4532038,510955,https://ceskarepublika.wiki/filmy-online/deda-postrach-rodiny/,NONE,0,,,https://prehraj.to/hledej/D%C4%9Bda%2C%20postrach%20rodiny
7369,Lichožrouti,2016,lichozrouti,,1417,,,t,f,57,5.7,11.40,tt5176632,330755,https://ceskarepublika.wiki/filmy-online/lichozrouti/,FOUND,14,https://prehraj.to/lichozrouti-full-hd-2016-ceske-filmy-cz-78pt/6575d4d540de5,Lichožrouti (Full HD) 2016 české filmy CZ (78PT),https://prehraj.to/hledej/Licho%C5%BErouti
7370,Královna pouště,2015,kralovna-pouste,,28622,8,"480p,240p",t,f,57,5.7,11.40,tt1837636,329622,https://ceskarepublika.wiki/filmy-online/kralovna-pouste/,FOUND,14,https://prehraj.to/kralovna-pouste-2015-cz-dabing/5925b306ed0ec,Královna Pouště (2015) CZ Dabing,https://prehraj.to/hledej/Kr%C3%A1lovna%20pou%C5%A1t%C4%9B
7368,Neznámý svůdce,2007,neznamy-svudce,,52885,6,"720p,480p",t,f,57,5.7,11.40,tt0457433,223561,https://ceskarepublika.wiki/filmy-online/neznamy-svudce/,FOUND,30,https://prehraj.to/neznamy-svudce-2007-sk-mp4/1334a34e95a85e98,Neznámý svůdce (2007)(SK).mp4,https://prehraj.to/hledej/Nezn%C3%A1m%C3%BD%20sv%C5%AFdce
7371,Oko 2,2004,oko-2,,2857,12,"480p,360p",t,f,57,5.7,11.40,tt0405061,179283,https://ceskarepublika.wiki/filmy-online/oko-2/,FOUND,6,https://prehraj.to/oko-2-2004-cz-dabing/5b48eb581d272,Oko 2 (2004) CZ Dabing,https://prehraj.to/hledej/Oko%202
6884,Romance po irsku,2020,romance-po-irsku,,21463,6,"720p,480p",t,f,55,5.8,11.30,tt6842770,898395,https://ceskarepublika.wiki/filmy-online/romance-po-irsku/,MAYBE,1,https://prehraj.to/romance-po-irsku-2020-cz-1080p/63c69c15793bf87f,Romance po irsku (2020) cz 1080p,https://prehraj.to/hledej/Romance%20po%20irsku
8595,Malý Nicky – Satan Junior,2000,maly-nicky-satan-junior,,1684,24,"480p,240p",t,f,60,5.3,11.30,tt0185431,13933,https://ceskarepublika.wiki/filmy-online/maly-nicky-satan-junior/,FOUND,31,https://prehraj.to/maly-nicky-satan-junior-2000-720p/5f7e08c0898b8,Maly.Nicky.Satan.Junior.2000.720p,https://prehraj.to/hledej/Mal%C3%BD%20Nicky
6565,Velký červený pes Clifford,2021,velky-cerveny-pes-clifford,,21455,9,"720p,480p",t,t,54,5.9,11.30,tt2397461,92575,https://ceskarepublika.wiki/filmy-online/velky-cerveny-pes-clifford/,NONE,0,,,https://prehraj.to/hledej/Velk%C3%BD%20%C4%8Derven%C3%BD%20pes%20Clifford
7792,Domov,2025,the-home,,50320,15,"720p,480p",f,t,58,5.5,11.30,tt17023012,1419156,https://ceskarepublika.wiki/filmy-online/the-home/,FOUND,32,https://prehraj.to/domov-aneb-kam-smeruje-nase-cesta-1-dil-hd-bydejv/672037ff2b4ae,Domov aneb Kam směřuje naše cesta 1.díl HD byDejv,https://prehraj.to/hledej/Domov
7810,"Moje smrt, moje pravidla",2023,moje-smrt-moje-pravidla,,43155,13,"720p,480p",t,f,58,5.5,11.30,tt10749816,958365,https://ceskarepublika.wiki/filmy-online/moje-smrt-moje-pravidla/,FOUND,4,https://prehraj.to/moje-smrt-moje-pravidla-2023-cz-dabing-1080p/67c48d9f667a9,Moje smrt moje pravidla 2023 CZ dabing 1080p,https://prehraj.to/hledej/Moje%20smrt%2C%20moje%20pravidla
